clip_name,class
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_00_clip8.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_00_clip10.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_00_clip11.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_00_clip12.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_00_clip16.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_00_clip19.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_01_clip1.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_01_clip3.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_01_clip5.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_01_clip7.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_01_clip21.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_01_clip29.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip2.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip4.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip6.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip9.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip13.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip14.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip15.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip17.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip18.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip20.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_03_clip24.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_03_clip27.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_04_clip22.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_04_clip23.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_04_clip25.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_04_clip26.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_04_clip28.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_04_clip30.wav,Non Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip1.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip3.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip5.wav,Non Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip14.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip15.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip16.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip17.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip18.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip19.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip20.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip21.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_01_clip7.wav,Non Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_01_clip8.wav,Non Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_01_clip9.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_01_clip10.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_01_clip11.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_02_clip2.wav,Non Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_02_clip4.wav,Non Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_02_clip6.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_02_clip12.wav,Non Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_02_clip13.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip1.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip2.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip4.wav,Non Violent
